Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
006650,KR7006650006,대한유화,KOSPI,,115700,2,-900,-0.77,115400,117400,114000,28875,3358372150,752050000000,6500000,STK
000210,KR7000210005,DL,KOSPI,,35850,2,-400,-1.1,36000,36250,35600,40131,1436436750,751268441400,20955884,STK
005250,KR7005250006,녹십자홀딩스,KOSPI,,15650,2,-620,-3.81,16100,16130,15610,54315,857036265,735991486500,47028210,STK
008730,KR7008730004,율촌화학,KOSPI,,29650,2,-650,-2.15,29850,30200,29450,98537,2923979125,735320000000,24800000,STK
214320,KR7214320004,이노션,KOSPI,,18240,2,-160,-0.87,18430,18490,18170,82730,1509434765,729600000000,40000000,STK
007700,KR7007700008,F&F홀딩스,KOSPI,,18630,2,-370,-1.95,19000,19450,18580,13706,256925810,728700657210,39114367,STK
002030,KR7002030005,아세아,KOSPI,,349000,2,-4000,-1.13,350500,351000,345500,1310,456154000,727364860000,2084140,STK
003470,KR7003470002,유안타증권,KOSPI,,3620,2,-10,-0.28,3645,3700,3570,325193,1181394147,722539605120,199596576,STK
003850,KR7003850005,보령,KOSPI,,8420,2,-140,-1.64,8570,8570,8260,130412,1090202135,722328282940,85787207,STK
002840,KR7002840007,미원상사,KOSPI,,152000,2,-1600,-1.04,153600,153800,148200,1600,240415500,722000000000,4750000,STK
451800,KR7451800007,한화리츠,KOSPI,,4020,2,-25,-0.62,4055,4055,3980,272905,1095975791,721992000000,179600000,STK
069260,KR7069260008,TKG휴켐스,KOSPI,,17570,2,-300,-1.68,17770,17840,17450,54207,952514340,718236791160,40878588,STK
005690,KR7005690003,파미셀,KOSPI,,11950,2,-360,-2.92,12290,12290,11830,939288,11264707785,717202719800,60016964,STK
005180,KR7005180005,빙그레,KOSPI,,75000,2,-600,-0.79,76000,76400,74400,31146,2334730800,716677725000,9555703,STK
268280,KR7268280005,미원에스씨,KOSPI,,140700,1,200,0.14,138800,140900,137600,659,91397200,703500000000,5000000,STK
00088K,KR700088K015,한화3우B,KOSPI,,36100,2,-1250,-3.35,37350,37500,35800,42220,1535667050,700500320100,19404441,STK
019170,KR7019170000,신풍제약,KOSPI,,13110,2,-160,-1.21,13270,13410,13060,205647,2712350600,694633218900,52984990,STK
001270,KR7001270008,부국증권,KOSPI,,65500,1,900,1.39,67500,68200,64500,65394,4315368700,679227533000,10369886,STK
293940,KR7293940003,신한알파리츠,KOSPI,,5590,2,-20,-0.36,5620,5630,5540,298427,1668924990,676055287570,120940123,STK
057050,KR7057050007,현대홈쇼핑,KOSPI,,55300,2,-100,-0.18,55400,55400,54700,3281,180770450,663600000000,12000000,STK
003620,KR7003620002,KG모빌리티,KOSPI,,3260,2,-65,-1.95,3305,3310,3240,303515,988758884,659742213120,202374912,STK
079900,KR7079900007,전진건설로봇,KOSPI,,45000,2,-1250,-2.7,46250,46250,44800,33989,1534765025,656664525000,14592545,STK
000370,KR7000370007,한화손해보험,KOSPI,,5550,2,-110,-1.94,5670,5670,5500,578236,3216004725,647900978250,116738915,STK
003030,KR7003030004,세아제강지주,KOSPI,,156000,2,-3000,-1.89,158200,159000,154200,8276,1289347950,646098492000,4141657,STK
00104K,KR700104K010,CJ4우(전환),KOSPI,,152300,2,-2500,-1.61,154500,154800,149400,13493,2045358500,643697777600,4226512,STK
066575,KR7066571001,LG전자우,KOSPI,,36900,2,-400,-1.07,37350,37350,36500,106673,3935835700,634163104800,17185992,STK
001570,KR7001570001,금양,KOSPI,,9900,0,0,0.0,0,0,0,0,0,633275240400,63967196,STK
093370,KR7093370005,후성,KOSPI,,5830,2,-230,-3.8,6000,6040,5780,521970,3059109680,625298573900,107255330,STK
145720,KR7145720009,덴티움,KOSPI,,56000,2,-1500,-2.61,57000,57100,55200,54166,3022376250,619854480000,11068830,STK
025540,KR7025540006,한국단자,KOSPI,,61200,2,-600,-0.97,61800,62000,60700,23354,1426672900,619038000000,10115000,STK
006380,KR7006380000,카프로,KOSPI,,3660,0,0,0.0,0,0,0,0,0,618539985360,168999996,STK
271940,KR7271940009,일진하이솔루스,KOSPI,,16980,2,-540,-3.08,17610,17620,16980,52500,901432700,616597966200,36313190,STK
000400,KR7000400002,롯데손해보험,KOSPI,,1985,2,-25,-1.24,2010,2030,1962,960192,1910264630,616017595200,310336320,STK
071055,KR7071051007,한국금융지주우,KOSPI,,104000,2,-3000,-2.8,107900,108000,104000,19046,1998371350,609258104000,5858251,STK
090460,KR7090460007,비에이치,KOSPI,,17560,2,-1070,-5.74,18640,18660,17540,664582,11855478930,605194495240,34464379,STK
005420,KR7005420005,코스모화학,KOSPI,,15620,2,-680,-4.17,16140,16140,15500,141520,2215998225,599936521360,38408228,STK
377740,KR7377740006,바이오노트,KOSPI,,5840,2,-70,-1.18,5800,6010,5710,130231,763201470,596007320320,102056048,STK
005390,KR7005390000,신성통상,KOSPI,,4105,2,-10,-0.24,4100,4105,4100,435680,1786365510,589922940950,143708390,STK
383800,KR7383800000,LX홀딩스,KOSPI,,7700,2,-150,-1.91,7890,7890,7640,195023,1503661650,587361313000,76280690,STK
284740,KR7284740008,쿠쿠홈시스,KOSPI,,26100,2,-300,-1.14,26250,26650,25900,36220,944155975,585614313000,22437330,STK
006220,KR7006220008,제주은행,KOSPI,,15460,1,1280,9.03,14170,17170,13870,11721598,188521461570,584365691220,37798557,STK
348950,KR7348950007,제이알글로벌리츠,KOSPI,,2940,2,-20,-0.68,2955,2955,2910,519165,1517354924,580285440000,197376000,STK
005810,KR7005810007,풍산홀딩스,KOSPI,,40000,2,-1050,-2.56,41500,41500,39750,23125,930069150,576691680000,14417292,STK
002350,KR7002350007,넥센타이어,KOSPI,,5840,2,-100,-1.68,5940,5940,5820,74128,434692830,570380401680,97667877,STK
005880,KR7005880000,대한해운,KOSPI,,1715,2,-21,-1.21,1736,1739,1688,2116722,3613509394,553511688100,322747340,STK
336370,KR7336370002,솔루스첨단소재,KOSPI,,7760,2,-130,-1.65,7980,7980,7670,101436,787205750,544886589440,70217344,STK
010780,KR7010780005,아이에스동서,KOSPI,,17850,2,-480,-2.62,18380,18390,17710,49430,884532605,538837521600,30186976,STK
017810,KR7017810003,풀무원,KOSPI,,14110,2,-180,-1.26,14200,14370,13910,178422,2517837760,537880847620,38120542,STK
322000,KR7322000001,HD현대에너지솔루션,KOSPI,,47800,2,-3300,-6.46,50800,51100,47300,106385,5167465100,535360000000,11200000,STK
003545,KR7003541000,대신증권우,KOSPI,,20400,2,-400,-1.92,20800,20950,20350,76988,1579498575,530400000000,26000000,STK
016380,KR7016380008,KG스틸,KOSPI,,5290,2,-110,-2.04,5390,5390,5270,151354,803412505,529047065130,100008897,STK
002960,KR7002960003,한국쉘석유,KOSPI,,406000,2,-1000,-0.25,404000,407000,403500,1076,435573250,527800000000,1300000,STK
145990,KR7145990008,삼양사,KOSPI,,50800,2,-700,-1.36,51200,51600,50600,9689,493989900,523923209200,10313449,STK
016800,KR7016800005,퍼시스,KOSPI,,45500,1,500,1.11,44300,46200,44300,407,18443600,523250000000,11500000,STK
001500,KR7001500008,현대차증권,KOSPI,,8320,2,-160,-1.89,8550,8550,8300,94918,794486980,514450926080,61833044,STK
089590,KR7089590004,제주항공,KOSPI,,6370,2,-80,-1.24,6450,6480,6350,51188,327431335,513683074450,80640985,STK
017940,KR7017940008,E1,KOSPI,,74700,2,-2500,-3.24,77400,77800,74700,7016,529576350,512442000000,6860000,STK
093050,KR7093050003,LF,KOSPI,,17390,2,-300,-1.7,17750,17750,17270,62880,1093049110,508483600000,29240000,STK
002020,KR7002020006,코오롱,KOSPI,,40000,2,-1550,-3.73,42000,42000,39250,160344,6411027525,505057040000,12626426,STK
003300,KR7003300001,한일홀딩스,KOSPI,,16370,1,40,0.24,16330,16390,16220,9523,154962520,504734311080,30832884,STK
097520,KR7097520001,엠씨넥스,KOSPI,,28000,2,-350,-1.23,28500,28650,27600,52151,1460411725,503376496000,17977732,STK
004690,KR7004690004,삼천리,KOSPI,,123500,2,-2000,-1.59,125900,126000,122200,10545,1309437150,500795587500,4055025,STK
034310,KR7034310003,NICE,KOSPI,,13440,1,50,0.37,13400,13470,13270,48132,642868580,499006260480,37128442,STK
453340,KR7453340002,현대그린푸드,KOSPI,,15160,2,-40,-0.26,15200,15330,15020,53499,808836075,497541285360,32819346,STK
091810,KR7091810002,티웨이항공,KOSPI,,1828,2,-15,-0.81,1843,1855,1826,320290,586703898,497522784100,272167825,STK
001060,KR7001060003,JW중외제약,KOSPI,,21200,2,-450,-2.08,21700,21700,21100,69879,1487550000,493661716000,23285930,STK
037270,KR7037270006,YG PLUS,KOSPI,,7750,2,-110,-1.4,7860,7980,7680,1763368,13810372815,493389102500,63663110,STK
178920,KR7178920005,PI첨단소재,KOSPI,,16670,2,-410,-2.4,17080,17080,16510,179484,2991314965,489536587740,29366322,STK
456040,KR7456040005,OCI,KOSPI,,54500,2,-1900,-3.37,56000,56300,54300,42704,2341387600,487910977500,8952495,STK
014830,KR7014830004,유니드,KOSPI,,71800,2,-2200,-2.97,73600,73800,71500,24387,1760990750,485913680000,6767600,STK
058650,KR7058650003,세아홀딩스,KOSPI,,121000,2,-2000,-1.63,123000,124400,120000,1049,126808900,484000000000,4000000,STK
195870,KR7195870001,해성디에스,KOSPI,,28300,2,-1600,-5.35,29300,29450,28000,206639,5891907225,481100000000,17000000,STK
161000,KR7161000005,애경케미칼,KOSPI,,9880,2,-240,-2.37,10050,10190,9860,204930,2041091905,480649244920,48648709,STK
009410,KR7009410002,태영건설,KOSPI,,1589,2,-25,-1.55,1614,1614,1577,181145,287348650,472825590559,297561731,STK
002240,KR7002240000,고려제강,KOSPI,,17320,2,-20,-0.12,17320,17410,17210,15357,265329870,467640000000,27000000,STK
072710,KR7072710007,농심홀딩스,KOSPI,,100200,2,-2900,-2.81,103000,103100,99900,81829,8262359850,464706558000,4637790,STK
094800,KR7094800000,맵스리얼티1,KOSPI,,5000,2,-20,-0.4,4980,5030,4930,76931,383652465,464171655000,92834331,STK
009900,KR7009900002,명신산업,KOSPI,,8640,2,-190,-2.15,8840,8880,8530,111123,957701600,453341949120,52470133,STK
005610,KR7005610001,SPC삼립,KOSPI,,52500,2,-800,-1.5,53600,53600,52300,9334,492271150,453022972500,8629009,STK
460860,KR7460860000,동국제강,KOSPI,,9110,2,-70,-0.76,9150,9190,9030,119774,1088356735,451929034870,49608017,STK
183190,KR7183190008,아세아시멘트,KOSPI,,12100,2,-120,-0.98,12230,12540,12010,71088,859821845,451895917000,37346770,STK
344820,KR7344820006,KCC글라스,KOSPI,,27950,2,-50,-0.18,28000,28050,27750,22645,631423925,446375810400,15970512,STK
033240,KR7033240003,자화전자,KOSPI,,20100,2,-950,-4.51,20700,20750,19920,124672,2526390150,437308383600,21756636,STK
016590,KR7016590002,신대양제지,KOSPI,,10820,2,-50,-0.46,10860,10940,10550,48583,519941720,436022412400,40297820,STK
170900,KR7170900005,동아에스티,KOSPI,,46500,2,-950,-2.0,47300,47300,46250,11498,535273600,434897992500,9352645,STK
001530,KR7001530005,DI동일,KOSPI,,21950,1,1100,5.28,20000,22200,20000,779508,16721145900,433057696000,19729280,STK
024720,KR7024720005,콜마홀딩스,KOSPI,,12560,2,-210,-1.64,12790,12910,12480,301147,3795877535,430761013040,34296259,STK
003160,KR7003160009,디아이,KOSPI,,15200,2,-690,-4.34,15700,15760,15010,598836,9173699860,430160000000,28300000,STK
026890,KR7026890004,스틱인베스트먼트,KOSPI,,10250,2,-250,-2.38,10400,10590,10195,54087,558211490,427201293750,41678175,STK
090435,KR7090431008,아모레퍼시픽우,KOSPI,,40400,2,-1400,-3.35,41650,41800,40400,28935,1183502750,426536332000,10557830,STK
002710,KR7002710002,TCC스틸,KOSPI,,16220,2,-520,-3.11,16590,16600,16150,143048,2325063270,425186165340,26213697,STK
105630,KR7105630008,한세실업,KOSPI,,10620,2,-300,-2.75,10700,10840,10580,122003,1299519345,424800000000,40000000,STK
357120,KR7357120005,코람코라이프인프라리츠,KOSPI,,4360,2,-25,-0.57,4385,4400,4335,185416,808198270,424382143440,97335354,STK
192650,KR7192650000,드림텍,KOSPI,,6110,2,-230,-3.63,6380,6380,6040,168716,1035936075,420918150510,68890041,STK
029530,KR7029530003,신도리코,KOSPI,,41650,2,-200,-0.48,42000,42150,41300,5992,248729150,419833207850,10080029,STK
004700,KR7004700001,조광피혁,KOSPI,,62500,2,-300,-0.48,64300,64500,62200,3454,216575550,415571125000,6649138,STK
272450,KR7272450008,진에어,KOSPI,,7940,2,-100,-1.24,8050,8060,7920,75346,601049675,414468000000,52200000,STK
016610,KR7016610008,DB증권,KOSPI,,9730,2,-60,-0.61,9750,9870,9440,116236,1127728345,413003364970,42446389,STK
432320,KR7432320000,KB스타리츠,KOSPI,,3990,1,15,0.38,3975,3990,3960,71495,284304062,404642997150,101414285,STK
448730,KR7448730002,삼성FN리츠,KOSPI,,4340,2,-5,-0.12,4345,4350,4305,118418,512537096,395157000000,91050000,STK
403550,KR7403550007,쏘카,KOSPI,,11940,2,-450,-3.63,12490,12490,11300,22631,266313545,392132309880,32841902,STK
007810,KR7007810005,코리아써키트,KOSPI,,16560,2,-1290,-7.23,17450,17850,16410,764094,12930164045,391159636560,23620751,STK
